iter	Passed	Remaining
0	2	2803
1	5	2787
2	8	2860
3	11	2908
4	14	2900
5	17	2861
6	19	2801
7	22	2822
8	25	2805
9	28	2783
10	30	2749
11	33	2722
12	35	2705
13	38	2691
14	40	2668
15	43	2649
16	45	2635
17	47	2611
18	50	2596
19	53	2614
20	56	2621
21	58	2610
22	61	2593
23	63	2577
24	66	2587
25	70	2631
26	73	2640
27	75	2631
28	87	2941
29	97	3140
30	106	3328
31	114	3476
32	117	3453
33	120	3424
34	122	3389
35	125	3357
36	127	3330
37	130	3304
38	133	3278
39	135	3253
40	137	3227
41	140	3202
42	142	3179
43	145	3156
44	147	3136
45	150	3122
46	153	3104
47	155	3083
48	157	3065
49	160	3047
50	163	3034
51	165	3018
52	167	3001
53	170	2985
54	172	2969
55	174	2941
56	177	2940
57	180	2929
58	183	2919
59	185	2908
60	188	2895
61	190	2885
62	193	2873
63	195	2864
64	199	2867
65	201	2857
66	204	2845
67	206	2833
68	209	2822
69	211	2814
70	214	2807
71	216	2796
72	219	2788
73	222	2779
74	224	2769
75	227	2760
76	229	2755
77	232	2746
78	234	2738
79	237	2730
80	239	2721
81	242	2713
82	245	2709
83	248	2706
84	250	2701
85	253	2696
86	256	2690
87	260	2703
88	263	2701
89	266	2699
90	271	2713
91	274	2711
92	278	2713
93	281	2714
94	285	2717
95	289	2724
96	294	2745
97	298	2745
98	302	2750
99	305	2750
100	308	2749
101	311	2744
102	314	2738
103	317	2731
104	320	2732
105	324	2737
106	328	2737
107	332	2747
108	335	2743
109	339	2745
110	342	2746
111	345	2742
112	348	2738
113	352	2736
114	355	2738
115	359	2737
116	362	2735
117	365	2732
118	368	2729
119	372	2730
120	376	2732
121	379	2729
122	383	2731
123	386	2727
124	389	2725
125	393	2731
126	397	2729
127	399	2724
128	403	2722
129	406	2717
130	408	2710
131	411	2705
132	414	2700
133	416	2692
134	419	2686
135	422	2682
136	424	2674
137	427	2668
138	429	2661
139	432	2654
140	435	2650
141	438	2647
142	441	2643
143	443	2637
144	446	2630
145	448	2624
146	451	2620
147	455	2624
148	458	2620
149	461	2616
150	464	2611
151	467	2606
152	470	2603
153	472	2597
154	475	2591
155	477	2585
156	480	2579
157	484	2579
158	486	2574
159	489	2568
160	491	2562
161	494	2556
162	496	2552
163	499	2548
164	502	2544
165	505	2538
166	507	2533
167	510	2527
168	513	2523
169	516	2520
170	518	2514
171	521	2508
172	523	2503
173	526	2498
174	529	2493
175	531	2489
176	534	2484
177	536	2479
178	539	2473
179	541	2468
180	544	2464
181	547	2459
182	549	2454
183	552	2449
184	554	2443
185	557	2438
186	559	2433
187	562	2428
188	565	2425
189	567	2420
190	570	2414
191	572	2410
192	575	2406
193	578	2402
194	580	2397
195	583	2392
196	585	2388
197	588	2383
198	590	2378
199	594	2376
200	598	2377
201	600	2373
202	603	2368
203	605	2363
204	608	2359
205	611	2356
206	613	2351
207	616	2346
208	619	2343
209	621	2338
210	624	2335
211	627	2331
212	629	2327
213	633	2326
214	636	2322
215	638	2318
216	641	2313
217	644	2313
218	648	2311
219	651	2309
220	654	2305
221	656	2301
222	659	2299
223	662	2294
224	664	2290
225	667	2285
226	669	2281
227	672	2277
228	675	2272
229	677	2269
230	680	2264
231	682	2259
232	685	2255
233	688	2252
234	691	2249
235	693	2245
236	696	2241
237	698	2237
238	701	2233
239	703	2229
240	706	2225
241	709	2221
242	711	2217
243	714	2212
244	716	2208
245	719	2204
246	722	2201
247	724	2196
248	727	2192
249	729	2188
250	732	2184
251	734	2181
252	738	2179
253	740	2175
254	743	2171
255	745	2167
256	748	2163
257	751	2160
258	754	2158
259	756	2154
260	759	2150
261	762	2146
262	764	2142
263	767	2140
264	770	2135
265	772	2132
266	775	2130
267	778	2127
268	781	2124
269	784	2121
270	787	2119
271	790	2114
272	792	2110
273	795	2106
274	798	2104
275	800	2100
276	803	2096
277	805	2092
278	808	2089
279	810	2085
280	813	2082
281	816	2080
282	819	2076
283	823	2075
284	825	2072
285	829	2069
286	832	2068
287	836	2067
288	839	2065
289	868	2125
290	875	2134
291	878	2130
292	881	2127
293	884	2125
294	887	2120
295	889	2116
296	892	2112
297	895	2108
298	897	2105
299	900	2101
300	903	2097
301	905	2093
302	907	2088
303	910	2085
304	913	2081
305	916	2077
306	918	2073
307	921	2070
308	925	2070
309	928	2067
310	932	2065
311	934	2060
312	937	2056
313	939	2052
314	942	2049
315	944	2045
316	947	2041
317	950	2037
318	952	2033
319	955	2029
320	958	2026
321	960	2023
322	963	2018
323	966	2015
324	968	2011
325	971	2008
326	974	2004
327	977	2002
328	979	1998
329	982	1995
330	985	1991
331	987	1987
332	990	1984
333	993	1980
334	995	1976
335	998	1972
336	1000	1968
337	1003	1964
338	1005	1961
339	1008	1958
340	1011	1954
341	1014	1951
342	1017	1949
343	1020	1945
344	1023	1942
345	1025	1938
346	1029	1937
347	1032	1935
348	1036	1932
349	1039	1930
350	1042	1926
351	1044	1923
352	1047	1919
353	1049	1915
354	1052	1912
355	1055	1909
356	1058	1905
357	1060	1902
358	1063	1899
359	1066	1895
360	1068	1891
361	1071	1888
362	1074	1885
363	1077	1882
364	1079	1878
365	1082	1875
366	1085	1872
367	1088	1868
368	1090	1864
369	1093	1861
370	1095	1858
371	1098	1854
372	1101	1851
373	1103	1847
374	1106	1843
375	1108	1840
376	1111	1836
377	1113	1832
378	1116	1829
379	1118	1825
380	1121	1821
381	1123	1817
382	1126	1814
383	1128	1810
384	1131	1807
385	1133	1803
386	1136	1799
387	1138	1796
388	1141	1792
389	1143	1789
390	1146	1785
391	1148	1781
392	1151	1778
393	1153	1774
394	1156	1770
395	1158	1767
396	1161	1763
397	1163	1760
398	1166	1756
399	1169	1753
400	1171	1749
401	1173	1746
402	1176	1742
403	1179	1739
404	1181	1735
405	1184	1732
406	1186	1728
407	1188	1725
408	1191	1721
409	1193	1718
410	1196	1714
411	1198	1711
412	1201	1707
413	1203	1704
414	1206	1700
415	1209	1697
416	1212	1694
417	1214	1691
418	1217	1687
419	1219	1684
420	1223	1682
421	1226	1680
422	1230	1678
423	1233	1675
424	1235	1672
425	1238	1668
426	1241	1665
427	1244	1662
428	1246	1659
429	1249	1656
430	1252	1653
431	1254	1649
432	1257	1646
433	1260	1644
434	1264	1642
435	1267	1639
436	1269	1635
437	1271	1632
438	1275	1629
439	1277	1626
